image,score,timestamp
22L_20250630_071139.JPG,1,2025-08-18 07:58:34
34L_20250701_223531.JPG,2,2025-08-18 07:58:44
18R_20250714_025439.JPG,1,2025-08-18 07:58:48
41L_20250711_053108.JPG,1,2025-08-18 07:58:57
22R_20250627_073839.JPG,1,2025-08-18 07:59:02
22LR_20250718_005440.JPG,0,2025-08-18 07:59:04
22N_20250725_104252.JPG,2,2025-08-18 07:59:11
22LR_20250704_070946.JPG,0,2025-08-18 07:59:16
71L_20250718_012224.JPG,0,2025-08-18 07:59:22
18R_20250704_072145.JPG,1,2025-08-18 07:59:28
31LR_20250721_160900.JPG,0,2025-08-18 07:59:30
31N_20250721_161143.JPG,4,2025-08-18 07:59:34
18LR_20250630_072111.JPG,1,2025-08-18 07:59:39
72N_20250701_230211.JPG,0,2025-08-18 07:59:42
18N_20250627_074741.JPG,2,2025-08-18 07:59:47
50LR_20250716_030610.JPG,0,2025-08-18 07:59:49
22LR_20250630_071105.JPG,4,2025-08-18 07:59:57
31N_20250723_102334.JPG,4,2025-08-18 07:59:59
50N_20250714_024338.JPG,1,2025-08-18 08:02:29
71LR_20250630_073058.JPG,2,2025-08-18 08:02:41
31LR_20250716_031428.JPG,2,2025-08-18 08:02:48
72N_20250627_075447.JPG,0,2025-08-18 08:02:50
87LR_20250721_154152.JPG,1,2025-08-18 08:02:57
41L_20250718_005009.JPG,2,2025-08-18 08:03:02
50LR_20250704_072038.JPG,0,2025-08-18 08:03:04
31RR_20250714_030131.JPG,2,2025-08-18 08:03:28
71L_20250721_161351.JPG,2,2025-08-18 08:03:33
71R_20250701_230050.JPG,1,2025-08-18 08:03:55
41N_20250704_070601.JPG,3,2025-08-18 08:03:59
34RR_20250627_073336.JPG,1,2025-08-18 08:04:03
87L_20250627_072649.JPG,3,2025-08-18 08:04:07
74N_20250725_113000.JPG,0,2025-08-18 08:04:15
18LR_20250704_072358.JPG,0,2025-08-18 08:04:19
31R_20250709_034826.JPG,0,2025-08-18 08:04:21
22L_20250721_155104.JPG,1,2025-08-18 08:04:23
72N_20250721_161901.JPG,1,2025-08-18 08:04:27
87L_20250716_024236.JPG,2,2025-08-18 08:04:30
72R_20250704_074142.JPG,0,2025-08-18 08:04:32
50L_20250723_101521.JPG,1,2025-08-18 08:04:42
74N_20250721_155717.JPG,0,2025-08-18 08:04:44
34RR_20250721_154705.JPG,2,2025-08-18 08:04:46
50LR_20250721_160059.JPG,0,2025-08-18 08:05:36
87R_20250725_085056.JPG,2,2025-08-18 08:05:41
71LR_20250704_073422.JPG,1,2025-08-18 08:05:44
